model,preset,thr,precision,recall,f1,coverage,queries
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.15000000000000013,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.20000000000000018,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.25,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.30000000000000004,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.3500000000000001,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.40000000000000013,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.4500000000000002,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.5,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.55,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.6000000000000001,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.6500000000000001,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.7000000000000002,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.75,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.8,0.1511627906976744,1.0,0.2626262626262626,1.0,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.8500000000000001,0.15294117647058825,1.0,0.2653061224489796,0.9883720930232558,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.9000000000000001,0.15294117647058825,1.0,0.2653061224489796,0.9883720930232558,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,0.9500000000000002,0.15584415584415584,0.9230769230769231,0.26666666666666666,0.8953488372093024,86
embedding-data/deberta-sentence-transformer,D_char_jaccard,1.0,0.1506849315068493,0.8461538461538461,0.2558139534883721,0.8488372093023255,86
embedding-data/deberta-sentence-transformer,E_diversity,-1.0,0.11627906976744186,1.0,0.20833333333333334,1.0,86
