model,preset,k,P@k,R@k,F1@k,nDCG@k,MAP@k,MRR,coverage_rel@k,coverage_any@k,queries
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,3,0.12015503875968991,0.18604651162790697,0.14534883720930233,0.19546924516566666,0.15988372093023256,0.2971668512366187,0.32558139534883723,1.0,86
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,5,0.08372093023255815,0.21511627906976744,0.12015503875968996,0.21082204298965454,0.17005813953488372,0.2971668512366187,0.36046511627906974,1.0,86
sentence-transformers/all-MiniLM-L6-v2,I_short_skills_bias,10,0.049999999999999996,0.2616279069767442,0.08368569415081044,0.22790830549675137,0.1771686969361388,0.2971668512366187,0.4186046511627907,1.0,86
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,1,0.2558139534883721,0.13372093023255813,0.17441860465116277,0.2558139534883721,0.2558139534883721,0.3134505352528608,0.2558139534883721,1.0,86
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,3,0.12790697674418605,0.19767441860465115,0.15465116279069768,0.20709715214241087,0.1686046511627907,0.3134505352528608,0.3488372093023256,1.0,86
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,5,0.08372093023255814,0.21511627906976744,0.12015503875968996,0.21630883083680355,0.1744186046511628,0.3134505352528608,0.37209302325581395,1.0,86
sentence-transformers/all-MiniLM-L6-v2,J_char_heavy,10,0.05348837209302324,0.27906976744186046,0.08949964763918254,0.2394568077557879,0.18398624953857512,0.3134505352528608,0.45348837209302323,1.0,86
sentence-transformers/all-distilroberta-v1,A_semantic_only,1,0.11627906976744186,0.05813953488372093,0.07751937984496124,0.11627906976744186,0.11627906976744186,0.21373661867847915,0.11627906976744186,1.0,86
sentence-transformers/all-distilroberta-v1,A_semantic_only,3,0.11240310077519379,0.1686046511627907,0.13488372093023257,0.1502293115017231,0.11627906976744186,0.21373661867847915,0.29069767441860467,1.0,86
sentence-transformers/all-distilroberta-v1,A_semantic_only,5,0.07906976744186046,0.19767441860465115,0.11295681063122927,0.16526966270009125,0.12470930232558139,0.21373661867847915,0.3372093023255814,1.0,86
sentence-transformers/all-distilroberta-v1,A_semantic_only,10,0.05116279069767441,0.2558139534883721,0.08527131782945738,0.18774923813704159,0.1348075858250277,0.21373661867847915,0.4069767441860465,1.0,86
sentence-transformers/all-distilroberta-v1,B_hybrid_light,1,0.20930232558139536,0.10465116279069768,0.1395348837209302,0.20930232558139536,0.20930232558139536,0.26226928755998524,0.20930232558139536,1.0,86
sentence-transformers/all-distilroberta-v1,B_hybrid_light,3,0.11627906976744186,0.1744186046511628,0.13953488372093026,0.1767117196683939,0.14147286821705427,0.26226928755998524,0.3023255813953488,1.0,86
sentence-transformers/all-distilroberta-v1,B_hybrid_light,5,0.07906976744186046,0.19767441860465115,0.11295681063122927,0.18836906467634473,0.15077519379844959,0.26226928755998524,0.313953488372093,1.0,86
sentence-transformers/all-distilroberta-v1,B_hybrid_light,10,0.04767441860465116,0.2441860465116279,0.07963354474982384,0.20630964680790054,0.15893087855297156,0.26226928755998524,0.37209302325581395,1.0,86
sentence-transformers/all-distilroberta-v1,C_lex_sem_strong,1,0.23255813953488372,0.12209302325581395,0.15891472868217052,0.23255813953488372,0.23255813953488372,0.2703949796973053,0.23255813953488372,1.0,86
sentence-transformers/all-distilroberta-v1,C_lex_sem_strong,3,0.10077519379844961,0.1569767441860465,0.12209302325581395,0.1722134312121783,0.13953488372093023,0.2703949796973053,0.29069767441860467,1.0,86
sentence-transformers/all-distilroberta-v1,C_lex_sem_strong,5,0.07209302325581396,0.18604651162790697,0.10354374307862685,0.18694133578492672,0.15,0.2703949796973053,0.313953488372093,1.0,86
sentence-transformers/all-distilroberta-v1,C_lex_sem_strong,10,0.04418604651162791,0.23255813953488372,0.0739957716701903,0.20495985669277578,0.1599206349206349,0.2703949796973053,0.3488372093023256,1.0,86
sentence-transformers/all-distilroberta-v1,D_char_jaccard,1,0.19767441860465115,0.09883720930232558,0.1317829457364341,0.19767441860465115,0.19767441860465115,0.24618863049095605,0.19767441860465115,1.0,86
sentence-transformers/all-distilroberta-v1,D_char_jaccard,3,0.09689922480620154,0.14534883720930233,0.11627906976744189,0.15438938491085685,0.12306201550387595,0.24618863049095605,0.26744186046511625,1.0,86
sentence-transformers/all-distilroberta-v1,D_char_jaccard,5,0.07674418604651163,0.19186046511627908,0.10963455149501664,0.17739162830113886,0.138468992248062,0.24618863049095605,0.313953488372093,1.0,86
sentence-transformers/all-distilroberta-v1,D_char_jaccard,10,0.04534883720930233,0.23255813953488372,0.07575757575757577,0.19233800564848957,0.14521502399409375,0.24618863049095605,0.36046511627906974,1.0,86
sentence-transformers/all-distilroberta-v1,E_diversity,1,0.20930232558139536,0.10465116279069768,0.1395348837209302,0.20930232558139536,0.20930232558139536,0.28465300849021774,0.20930232558139536,1.0,86
sentence-transformers/all-distilroberta-v1,E_diversity,3,0.12403100775193798,0.19186046511627908,0.15,0.19041335899990114,0.15406976744186046,0.28465300849021774,0.32558139534883723,1.0,86
sentence-transformers/all-distilroberta-v1,E_diversity,5,0.08837209302325583,0.22674418604651161,0.1267995570321152,0.20852426976306684,0.16656976744186044,0.28465300849021774,0.36046511627906974,1.0,86
