container,source,path_rel,basename,ext,size_bytes,size_kb,modified,artifact_type,pipeline_expected,pipeline_tag_in_name,suffix_applicable,suffix_expected,suffix_present,pipeline_tag_mismatch,abs_path
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv,.csv,553429,540.5,2025-09-17T15:05:32,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_I_short_skills_bias_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv,.csv,548662,535.8,2025-09-17T15:05:50,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_distilroberta_v1_J_char_heavy_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv,.csv,509947,498.0,2025-09-17T15:09:52,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_A_semantic_only_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv,.csv,532832,520.3,2025-09-17T15:09:58,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_B_hybrid_light_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv,.csv,541291,528.6,2025-09-17T15:10:04,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_C_lex_sem_strong_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv,.csv,545248,532.5,2025-09-17T15:10:22,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_D_char_jaccard_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_E_diversity_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_E_diversity_dwa_cb25d773_skill_1edbbb05.csv,.csv,529009,516.6,2025-09-17T15:10:28,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_E_diversity_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv,.csv,527836,515.5,2025-09-17T15:10:34,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_F_recall_first_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv,.csv,525481,513.2,2025-09-17T15:10:40,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_G_mnn_heavy_dwa_cb25d773_skill_1edbbb05.csv
results_coursera1,dir,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv,neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv,.csv,519383,507.2,2025-09-17T15:10:46,neighbors,_coursera,_dwa,True,_coursera,False,True,/Users/jpardo/Desktop/Proyectos/AI4LABOUR/mejoras/results_coursera1/neighbors_coursera_long_sentence_transformers_all_mpnet_base_v2_H_zfilter_dwa_cb25d773_skill_1edbbb05.csv
